CLUSTER,30046-001,30046-002,30046-003,30046-004,30046-005,30046-006,30046-007,30046-009,30046-010,30046-011,30046-012,30046-013,30046-014,30046-015,30046-017,30046-018,30046-019,30046-020,30046-021,30046-022,30046-023
Cluster-5039.0,17,26,24,16,30,25,30,17,15,27,30,38,17,26,17,37,22,22,22,39,38
Cluster-5040.0,7,24,46,13,29,18,28,3,12,21,17,19,7,17,14,1,15,9,20,12,48
Cluster-5041.0,2,6,0,0,12,2,0,9,4,0,8,0,0,0,0,0,1,2,0,15,0
Cluster-5042.0,1,2,5,11,7,2,4,2,1,3,6,1,4,3,2,4,3,0,6,4,3
Cluster-5043.0,12,1,0,0,30,13,5,1,0,8,0,15,3,3,11,0,15,0,7,27,3
Cluster-5044.0,7,10,7,11,16,9,7,15,17,5,12,7,8,2,17,3,7,5,4,12,12
Cluster-5045.0,2,0,1,2,0,0,0,0,3,0,2,2,2,2,3,1,5,0,0,0,0
Cluster-5046.0,268,69,170,79,0,50,50,161,71,84,155,250,65,116,284,142,195,164,0,84,25
Cluster-5047.0,1,2,0,0,0,5,6,0,2,2,6,3,10,0,0,9,0,3,10,0,5
Cluster-5048.0,1,1,1,0,1,1,0,0,1,0,1,0,1,4,0,2,5,0,0,2,1
Cluster-5049.0,3,1,3,0,1,0,0,2,1,2,0,0,0,1,0,0,2,0,1,0,2
Cluster-5050.0,869,1096,850,791,1629,922,931,985,482,765,1751,802,634,1081,634,1763,898,674,591,1174,432
Cluster-5051.0,101529,130518,149151,180094,104631,150796,126058,140967,131777,97999,124365,131026,79967,123482,126941,143498,143441,105728,100057,145868,158734
Cluster-5052.0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,3,1,1
Cluster-5053.0,33,59,42,56,68,124,100,66,78,102,120,26,61,99,42,175,123,100,87,22,106
Cluster-5054.0,124,778,376,159,89,279,57,284,65,168,293,165,163,329,458,397,27,490,164,142,11
