"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cluster-1475.0",31.3027375259434,-0.102650773431677,0.88745449564089,-0.115668773932512,0.907915054890972,0.997743869210583
"Cluster-1476.0",10.2590377829703,0.901549944651038,0.681106585200905,1.32365471754338,0.185617743794299,0.997743869210583
"Cluster-1478.0",13.072300113855,-0.522611988223205,0.662002785791316,-0.789440768891188,0.429854435659344,0.997743869210583
"Cluster-1499.0",7.57790919264429,0.645542997723183,0.788967798452077,0.818212098123285,0.413236088212937,0.997743869210583
"Cluster-1506.0",16.0375588496649,0.476782196409129,0.78483957526832,0.607490003605039,0.543525774649075,0.997743869210583
"Cluster-1512.0",11.686592341911,-0.277062798796652,1.05044635668593,-0.263757208574422,0.791967009807391,0.997743869210583
"Cluster-1519.0",7.17758967090648,0.81820261847549,0.883912687474164,0.925660000212866,0.354622701395751,0.997743869210583
"Cluster-1523.0",11.9574079093377,-0.147620681354784,0.79659609562885,-0.185314342067229,0.852982489512903,0.997743869210583
"Cluster-1528.0",7.22096492704264,-0.339547854675962,1.08996640798743,-0.31152139385921,0.755404281503705,0.997743869210583
"Cluster-1541.0",7.42976079132008,0.851012404696777,0.687633311470949,1.23759624570301,0.215865807207906,0.997743869210583
"Cluster-1544.0",9.37895883215385,-0.227367889995831,0.806655835368986,-0.281864805319145,0.778047177061485,0.997743869210583
"Cluster-1550.0",19.1584870289085,0.230532932432879,0.68842428613562,0.334870423771575,0.73772283367554,0.997743869210583
"Cluster-1553.0",11.3505879426482,-0.252089711853993,0.878171638293844,-0.287062005718797,0.774064843400843,0.997743869210583
"Cluster-1554.0",10.212209340678,-0.845118008997884,1.12185130482645,-0.753324442697528,0.451254974197045,0.997743869210583
"Cluster-1558.0",8.98464596569286,0.107320935069958,1.10728206496551,0.0969228514265706,0.922787661426798,0.998794292653611
